artist_id,Name,Type,Popularity,Genres,Followers
3vQ0GE3mI0dAaxIMYe5g7z,Paulo Londra,artist,74,"argentine hip hop, trap argentino, trap latino, urbano latino",22189494
69GGBxA162lTqCwzJG5jLp,The Chainsmokers,artist,78,"electropop, pop",20348703
6LqNN22kT3074XbTVUrhzX,Kesha,artist,74,"dance pop, pop",7620554
7jy3rLJdDQY21OgRLCZ9sD,Foo Fighters,artist,77,"alternative metal, alternative rock, modern rock, permanent wave, post-grunge, rock",11191467
6XyY86QOPPrYVGvF9ch6wz,Linkin Park,artist,83,"alternative metal, nu metal, post-grunge, rap metal, rock",24144132
4xRYI6VqpkE3UwrDrAZL8L,Logic,artist,73,"conscious hip hop, hip hop, pop rap, rap",5928932
3TVXtAsR1Inumwj472S9r4,Drake,artist,94,"canadian hip hop, canadian pop, hip hop, pop rap, rap",78233981
0du5cEVh5yTK9QJze8zA0C,Bruno Mars,artist,86,"dance pop, pop",50069856
5YCc6xS5Gpj3EkaYGdjyNK,WOS,artist,68,"argentine indie, trap argentino",3842405
0X2BH1fck6amBIoJhDVmmJ,Ellie Goulding,artist,79,"indietronica, metropopolis, pop, uk pop",12207292
3EXdLajEO02ziZ90P90bSW,Lil Xan,artist,55,cloud rap,2336331
7M83IzPXGA4ClZJ5reW2Ro,Douglas & Vinicius,artist,50,"arrocha, sertanejo pop",129412
0WOxhx4hikIsyF3CRPLC8W,Famous Dex,artist,56,"chicago rap, drill, rap, trap",2484510
5f7VJjfbwm532GiveGC0ZK,Lil Baby,artist,85,"atl hip hop, atl trap, rap, trap",14936414
54R6Y0I7jGUCveDTtI21nb,Boney M.,artist,68,europop,1746880
6LuN9FCkKOj5PcnpouEgny,Khalid,artist,82,"pop, pop r&b",16087845
2wY79sveU1sp5g7SokKOiI,Sam Smith,artist,83,"pop, uk pop",22968815
4WZGDpNwrC0vNQyl9QzF7d,Capital Bra,artist,67,german hip hop,4403331
3AA28KZvwAUcZuOKwyblJQ,Gorillaz,artist,77,"alternative hip hop, modern rock, rock",10736179
3Nrfpe0tUJi4K4DXYWgMUX,BTS,artist,87,"k-pop, k-pop boy group, pop",68193131
7nKeLE1toRtW4M279iS26h,Zay Hilfigerrr,artist,38,viral trap,63055
26VFTg2z8YR0cCuwLzESi2,Halsey,artist,80,"electropop, etherpop, indie poptimism, pop",20698792
3mIj9lX2MWuHmhNCA7LSCW,The 1975,artist,76,"modern alternative rock, modern rock, pop, pov: indie, rock",6845535
6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,artist,86,"dance pop, pop, uk pop",41022197
6icQOAFXDZKsumw3YXyusw,Lil Yachty,artist,75,"atl hip hop, melodic rap, rap, trap",9178470
